@relation WALMART_SALES_DATA-weka.filters.unsupervised.attribute.Reorder-Rfirst-last-weka.filters.unsupervised.attribute.Reorder-Rfirst-last-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R7-8

@attribute Unemployment numeric
@attribute CPI numeric
@attribute Fuel_Price numeric
@attribute Temperature numeric
@attribute Holiday_Flag numeric
@attribute Weekly_Sales numeric

@data
8.106,211.096358,2.572,42.31,0,1643690.9
8.106,211.24217,2.548,38.51,1,1641957.44
8.106,211.289143,2.514,39.93,0,1611968.17
8.106,211.319643,2.561,46.63,0,1409727.59
8.106,211.350143,2.625,46.5,0,1554806.68
8.106,211.380643,2.667,57.79,0,1439541.59
8.106,211.215635,2.72,54.58,0,1472515.79
8.106,211.018042,2.732,51.45,0,1404429.92
7.808,210.82045,2.719,62.27,0,1594968.28
7.808,210.622857,2.77,65.86,0,1545418.53
7.808,210.4887,2.808,66.32,0,1466058.28
7.808,210.439123,2.795,64.84,0,1391256.12
7.808,210.389546,2.78,67.41,0,1425100.71
7.808,210.339968,2.835,72.55,0,1603955.12
7.808,210.337426,2.854,74.78,0,1494251.5
7.808,210.617093,2.826,76.44,0,1399662.07
7.808,210.896761,2.759,80.44,0,1432069.95
7.808,211.176428,2.705,80.69,0,1615524.71
7.808,211.456095,2.668,80.43,0,1542561.09
7.808,211.453772,2.637,84.11,0,1503284.06
7.808,211.338653,2.653,84.34,0,1422711.6
7.787,211.223533,2.669,80.91,0,1492418.14
7.787,211.108414,2.642,80.48,0,1546074.18
7.787,211.100385,2.623,83.15,0,1448938.92
7.787,211.235144,2.608,83.36,0,1385065.2
7.787,211.369903,2.64,81.84,0,1371986.6
7.787,211.504662,2.627,87.16,0,1605491.78
7.787,211.639421,2.692,87,0,1508237.76
7.787,211.603363,2.664,86.65,0,1513080.49
7.787,211.567306,2.619,85.22,0,1449142.92
7.787,211.531248,2.577,81.21,0,1540163.53
7.787,211.49519,2.565,78.69,1,1507460.69
7.787,211.52246,2.582,82.11,0,1430378.67
7.787,211.597225,2.624,80.94,0,1351791.03
7.838,211.671989,2.603,71.89,0,1453329.5
7.838,211.746754,2.633,63.93,0,1508239.93
7.838,211.813744,2.72,67.18,0,1459409.1
7.838,211.861294,2.725,69.86,0,1345454
7.838,211.908844,2.716,69.64,0,1384209.22
7.838,211.956394,2.689,58.74,0,1551659.28
7.838,212.003944,2.728,59.61,0,1494479.49
7.838,211.889674,2.771,51.41,0,1483784.18
7.838,211.748433,2.735,64.52,1,1955624.11
7.838,211.607193,2.708,49.27,0,1548033.78
7.838,211.465953,2.843,46.33,0,1682614.26
7.838,211.405312,2.869,49.84,0,1891034.93
7.838,211.405122,2.886,52.33,0,2387950.2
7.838,211.404932,2.943,48.43,1,1367320.01
7.742,211.404742,2.976,48.27,0,1444732.28
7.742,211.457411,2.983,35.4,0,1391013.96
7.742,211.827234,3.016,44.04,0,1327405.42
7.742,212.197058,3.01,43.83,0,1316899.31
7.742,212.566881,2.989,42.27,0,1606629.58
7.742,212.936705,3.022,36.39,1,1649614.93
7.742,213.247885,3.045,57.36,0,1686842.78
7.742,213.535609,3.065,62.9,0,1456800.28
7.742,213.823333,3.288,59.58,0,1636263.41
7.742,214.111056,3.459,53.56,0,1553191.63
7.742,214.362711,3.488,62.76,0,1576818.06
